CHAPINERO - ALTO								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	2784314	3006329	3412698	3388889	3133333	4539007	4938272	5316456
II	2767549	2700422	3373016	3375926	3393333	5283962	5303867	5833333
III	2676471	2594937	2773810	3925926	4175000	4670635	5292308	6243032
IV	2382353	2661340	3015873	4111111	3996667	5146296	5129145	 - 
norte-cedritos								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	2229885	2380952	2908730	3139535	3205993	3980392	4189922	4493750
II	2222222	2212302	2876984	3139535	3408240	4157303	4232283	4345238
III	2247126	2341270	2892857	3354070	3782772	4044715	4237288	4404762
IV	2151341	2511905	2837302	3488372	3651685	4215686	4105058	 - 
sur timiza								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	1252874	1425000	1588793	2071429	2301724	2482456	2807692	2727273
II	1436782	1277778	1531609	2178571	1988506	2908497	2979495	2838308
III	1275287	1291667	1804598	1913690	2040230	2503145	2933333	3137255
IV	2043103	1586111	1856322	2142857	1925287	2705357	2663743	 - 
norte-chico								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	3353604	3513514	4312354	5284274	5654008	6753813	6781609	6602941
II	3367117	3581081	4428175	5135556	5911392	7154472	6964206	6744966
III	3558559	3601351	4137529	5311111	6295800	6732426	7333333	6917808
IV	3727477	3698198	4300315	6244444	6500000	6863290	6647597	 - 
norte-county								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	2934174	2881356	3477011	3898810	3885965	4642857	4808260	4954128
II	3116317	2865819	3311439	3807848	4181287	5226378	4883041	5065502
III	2741367	2923729	3405172	3750000	4371345	4651042	5247496	5423729
IV	2717332	3050847	3337644	4032738	4356725	4834770	4901408	 - 
norte orquideas								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	1821256	1960821	2135714	2569048	2743764	3190476	3378571	3647887
II	1826087	1940299	2231905	2738095	2877551	3401826	3557692	3691046
III	1867150	1940299	2185714	2650000	3238095	3261905	3395990	3600000
IV	1908213	2019900	2214286	2880952	3161802	3380282	3303769	 - 
norte-santa barbara								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	2895161	3143056	3556268	4156522	4487179	5301889	5356125	5663717
II	2908520	3041667	3653846	4130435	4672365	5392954	5515600	5790424
III	2930108	3000000	3660969	4159420	4939388	5101190	5481283	5833333
IV	3099462	3155409	3760684	4692754	4985755	5470085	5442359	 - 
NOROCCIDENTE - SECTOR CALLE 170 Y ALREDEDORES								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	1768398	1868202	2218750	2424951	3193206	3267490	3293249	3402778
II	1803030	2004386	2214167	3134503	2904459	3406250	3410042	3928571
III	1746753	1949561	2000000	3237817	2951168	3121875	3227092	4256757
IV	1824675	1927632	2229167	3247563	3538686	3270299	2994012	 - 
NOROCCIDENTE -colina								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	2129412	2222222	2703252	2945736	3197940	3777778	3809524	4166667
II	2137255	2315476	2670732	3158915	3388889	3865248	4000000	4186047
III	2215686	2301587	2707317	3158915	3588889	3789157	4252269	4235294
IV	2166667	2293651	2642276	3507752	3696296	3928571	4015152	 - 
NOROCCIDENTE - SECTOR CERROS DE SUBA								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	2879630	2890625	3602431	3700855	4266667	4716667	4802528	5107527
II	2699074	3077257	2951389	3504274	3583333	5048544	4908180	5076142
III	2777778	3263889	3022569	3974359	4475000	4448113	5281077	5384615
IV	3106481	3513889	3159722	3974359	4200000	5374801	5068027	 - 
NOROCCIDENTE - SECTOR CORTIJO Y CALLE 80								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	1436111	1835938	1983333	2247396	2538889	2795699	2846154	2946154
II	1611111	1843750	2041667	2286458	2483333	3014706	3024631	3200000
III	1694444	1744792	2055556	2447917	2505556	2925926	3197943	3106061
IV	1719444	1875000	2052778	2354167	2708333	2961538	3263427	 - 
NOROCCIDENTE - NIZA								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	2419355	2520147	2864815	3222222	3743450	4071429	4288889	4593023
II	2401434	2500000	3000000	3277778	3629630	4254017	4606742	4666667
III	2508961	2538462	3018519	3218519	4011311	4528409	4534271	4680851
IV	2374552	2582418	2966667	3629630	4140741	4312688	4568966	 - 
OCCIDENTE - SECTOR SALITRE Y MODELIA								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	2681648	2670543	2674419	3662848	4021318	4578755	4787037	4634146
II	2621723	2616279	3094961	3824074	3689922	4717014	4832714	5144509
III	2584270	2555233	3170543	3648148	4156977	5242593	5164234	5172414
IV	2584270	2796512	3020388	3962963	4224806	4835165	5778559	 - 
OCCIDENTE - SECTOR PUENTE ARANDA								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	1961905	1666667	2164625	2193627	2533333	2757353	2694444	3030303
II	1616667	1628019	1997619	2088235	2579487	3589552	3354331	3247863
III	1676190	1449275	2354762	2166667	2551282	2997222	3443396	3692308
IV	1785714	1509662	1867619	2291667	2340105	2747396	3615385	 - 
OCCIDENTE - SECTOR NORMANDÍA								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	2006173	2077778	2328431	2260965	3101351	3617778	3738426	4166667
II	2111111	1853333	2601605	2429825	2968468	3896104	4047210	4000000
III	2057613	1911111	2107843	2620614	3603604	4147059	4059867	3670005
IV	1909465	1993333	2357843	2807018	3610360	3892694	4014354	 - 
OCCIDENTE - SECTOR NICOLÁS DE FEDERMÁ								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	1946860	2326188	2710438	2946667	3376238	3833333	3878205	4321608
II	2085346	2278912	2819865	3173333	3300330	3948598	4264943	4432990
III	2262480	2559524	2735690	3516667	3712871	4214744	3838996	4650000
IV	2254428	2494998	2670034	3466667	3610561	4207921	5015106	 - 
OCCIDENTE - SECTOR METRÓPOLIS								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	1945946	2311111	2615741	2890295	2657596	3540000	3894977	3823529
II	2040541	2177778	2821759	2686287	3310658	4129353	4125000	4590164
III	2213964	1437778	2833333	2432489	2103401	3454955	4432870	4848485
IV	2164414	2188889	2018519	3312236	3816327	3961353	3987474	 - 
CENTRO - SECTOR CENTRO Y ZONA COLONIAL								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	1989316	1972574	1954238	2059701	2320000	3434685	4115385	4310345
II	1730769	1400844	2761905	3225719	2322222	3773326	4136598	4354839
III	2094017	1265823	2092857	2064677	2773333	3317130	5097778	4545455
