sector	2010-I	2010-II	2010-III	2010-IV	2011-I	2011-II	2011-III	2011-IV	2012-I	2012-II	2012-III	2012-IV	2014-I	2014-II	2014-III	2014-IV	2015-I	2015-II	2015-III	2015-IV	2016-I	2016-II	2016-III	2016-IV	2017-I	2017-II	2017-III	2017-IV	2018-I	2018-II	2018-III	2018-IV
CHAPINERO - ALTO	2784314	2767549	2676471	2382353	3006329	2700422	2594937	2661340	3412698	3373016	2773810	3015873	3388889	3375926	3925926	4111111	3133333	3393333	4175000	3996667	4539007	5283962	4670635	5146296	4938272	5303867	5292308	5129145	5316456	5833333	6243032	 - 	
norte-cedritos	2229885	2222222	2247126	2151341	2380952	2212302	2341270	2511905	2908730	2876984	2892857	2837302	3139535	3139535	3354070	3488372	3205993	3408240	3782772	3651685	3980392	4157303	4044715	4215686	4189922	4232283	4237288	4105058	4493750	4345238	4404762	 - 	
sur timiza	1252874	1436782	1275287	2043103	1425000	1277778	1291667	1586111	1588793	1531609	1804598	1856322	2071429	2178571	1913690	2142857	2301724	1988506	2040230	1925287	2482456	2908497	2503145	2705357	2807692	2979495	2933333	2663743	2727273	2838308	3137255	 - 	
norte-chico	3353604	3367117	3558559	3727477	3513514	3581081	3601351	3698198	4312354	4428175	4137529	4300315	5284274	5135556	5311111	6244444	5654008	5911392	6295800	6500000	6753813	7154472	6732426	6863290	6781609	6964206	7333333	6647597	6602941	6744966	6917808	 - 	
norte-county	2934174	3116317	2741367	2717332	2881356	2865819	2923729	3050847	3477011	3311439	3405172	3337644	3898810	3807848	3750000	4032738	3885965	4181287	4371345	4356725	4642857	5226378	4651042	4834770	4808260	4883041	5247496	4901408	4954128	5065502	5423729	 - 	
norte orquideas	1821256	1826087	1867150	1908213	1960821	1940299	1940299	2019900	2135714	2231905	2185714	2214286	2569048	2738095	2650000	2880952	2743764	2877551	3238095	3161802	3190476	3401826	3261905	3380282	3378571	3557692	3395990	3303769	3647887	3691046	3600000	 - 	
norte-santa barbara	2895161	2908520	2930108	3099462	3143056	3041667	3000000	3155409	3556268	3653846	3660969	3760684	4156522	4130435	4159420	4692754	4487179	4672365	4939388	4985755	5301889	5392954	5101190	5470085	5356125	5515600	5481283	5442359	5663717	5790424	5833333	 - 	
NOROCCIDENTE - SECTOR CALLE 170 Y ALREDEDORES	1768398	1803030	1746753	1824675	1868202	2004386	1949561	1927632	2218750	2214167	2000000	2229167	2424951	3134503	3237817	3247563	3193206	2904459	2951168	3538686	3267490	3406250	3121875	3270299	3293249	3410042	3227092	2994012	3402778	3928571	4256757	 - 	
NOROCCIDENTE -colina	2129412	2137255	2215686	2166667	2222222	2315476	2301587	2293651	2703252	2670732	2707317	2642276	2945736	3158915	3158915	3507752	3197940	3388889	3588889	3696296	3777778	3865248	3789157	3928571	3809524	4000000	4252269	4015152	4166667	4186047	4235294	 - 	
NOROCCIDENTE - SECTOR CERROS DE SUBA	2879630	2699074	2777778	3106481	2890625	3077257	3263889	3513889	3602431	2951389	3022569	3159722	3700855	3504274	3974359	3974359	4266667	3583333	4475000	4200000	4716667	5048544	4448113	5374801	4802528	4908180	5281077	5068027	5107527	5076142	5384615	 - 	
NOROCCIDENTE - SECTOR CORTIJO Y CALLE 80	1436111	1611111	1694444	1719444	1835938	1843750	1744792	1875000	1983333	2041667	2055556	2052778	2247396	2286458	2447917	2354167	2538889	2483333	2505556	2708333	2795699	3014706	2925926	2961538	2846154	3024631	3197943	3263427	2946154	3200000	3106061	 - 	
NOROCCIDENTE - NIZA	2419355	2401434	2508961	2374552	2520147	2500000	2538462	2582418	2864815	3000000	3018519	2966667	3222222	3277778	3218519	3629630	3743450	3629630	4011311	4140741	4071429	4254017	4528409	4312688	4288889	4606742	4534271	4568966	4593023	4666667	4680851	 - 	
OCCIDENTE - SECTOR SALITRE Y MODELIA	2681648	2621723	2584270	2584270	2670543	2616279	2555233	2796512	2674419	3094961	3170543	3020388	3662848	3824074	3648148	3962963	4021318	3689922	4156977	4224806	4578755	4717014	5242593	4835165	4787037	4832714	5164234	5778559	4634146	5144509	5172414	 - 	
OCCIDENTE - SECTOR PUENTE ARANDA	1961905	1616667	1676190	1785714	1666667	1628019	1449275	1509662	2164625	1997619	2354762	1867619	2193627	2088235	2166667	2291667	2533333	2579487	2551282	2340105	2757353	3589552	2997222	2747396	2694444	3354331	3443396	3615385	3030303	3247863	3692308	 - 	
